gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math_grade,reading_grade,average_score,average_grade
male,group B,some high school,standard,completed,65,66,62,C,C,64.33333333333333,C
female,group E,some college,standard,completed,63,72,70,C,B,68.33333333333333,C
female,group D,some college,free/reduced,none,58,67,62,D,C,62.333333333333336,C
female,group D,bachelor's degree,standard,none,65,67,62,C,C,64.66666666666667,C
male,group B,some college,standard,none,79,67,67,B,C,71.0,B
male,group D,bachelor's degree,standard,completed,68,74,74,C,B,72.0,B
female,group D,associate's degree,standard,none,85,91,89,A,A,88.33333333333333,A
male,group B,high school,standard,completed,60,44,47,C,E,50.333333333333336,D
male,group C,some college,standard,completed,98,86,90,A,A,91.33333333333333,A
female,group C,some college,standard,none,58,67,72,D,C,65.66666666666667,C
female,group D,master's degree,standard,none,87,100,100,A,A,95.66666666666667,A
male,group E,associate's degree,standard,completed,66,63,64,C,C,64.33333333333333,C
female,group B,associate's degree,free/reduced,none,52,76,70,D,B,66.0,C
female,group B,some high school,standard,none,70,64,72,B,C,68.66666666666667,C
female,group D,associate's degree,free/reduced,completed,77,89,98,B,A,88.0,A
male,group C,high school,standard,none,62,55,49,C,D,55.333333333333336,D
male,group A,associate's degree,standard,none,54,53,47,D,D,51.333333333333336,D
female,group D,some college,standard,none,51,58,54,D,D,54.333333333333336,D
female,group E,bachelor's degree,standard,completed,99,100,100,A,A,99.66666666666667,A
male,group C,high school,standard,none,84,77,74,A,B,78.33333333333333,B
female,group B,bachelor's degree,free/reduced,none,75,85,82,B,A,80.66666666666667,A
female,group D,bachelor's degree,standard,none,78,82,79,B,A,79.66666666666667,B
female,group D,some high school,standard,none,51,63,61,D,C,58.333333333333336,D
female,group C,some college,standard,none,55,69,65,D,C,63.0,C
female,group C,bachelor's degree,standard,completed,79,92,89,B,A,86.66666666666667,A
male,group B,associate's degree,standard,completed,91,89,92,A,A,90.66666666666667,A
female,group C,some college,standard,completed,88,93,93,A,A,91.33333333333333,A
male,group D,high school,free/reduced,none,63,57,56,C,D,58.666666666666664,D
male,group E,some college,standard,none,83,80,73,A,A,78.66666666666667,B
female,group B,high school,standard,none,87,95,86,A,A,89.33333333333333,A
male,group B,some high school,standard,none,72,68,67,B,C,69.0,C
male,group D,some college,standard,completed,65,77,74,C,B,72.0,B
male,group D,master's degree,standard,none,82,82,74,A,A,79.33333333333333,B
female,group A,bachelor's degree,standard,none,51,49,51,D,E,50.333333333333336,D
male,group D,master's degree,standard,none,89,84,82,A,A,85.0,A
male,group C,some high school,free/reduced,completed,53,37,40,D,F,43.333333333333336,E
male,group E,some college,free/reduced,completed,87,74,70,A,B,77.0,B
female,group C,some college,standard,completed,75,81,84,B,A,80.0,A
male,group D,bachelor's degree,free/reduced,completed,74,79,75,B,B,76.0,B
male,group C,bachelor's degree,standard,none,58,55,48,D,D,53.666666666666664,D
male,group B,some high school,standard,completed,51,54,41,D,D,48.666666666666664,E
male,group E,high school,standard,none,70,55,56,B,D,60.333333333333336,C
female,group C,associate's degree,standard,none,59,66,67,D,C,64.0,C
male,group D,some college,standard,completed,71,61,69,B,C,67.0,C
female,group D,some high school,standard,none,76,72,71,B,B,73.0,B
female,group C,some college,free/reduced,none,59,62,64,D,C,61.666666666666664,C
female,group E,some college,free/reduced,completed,42,55,54,E,D,50.333333333333336,D
male,group A,high school,standard,none,57,43,47,D,E,49.0,E
male,group D,some college,standard,none,88,73,78,A,B,79.66666666666667,B
female,group C,some college,free/reduced,none,22,39,33,F,F,31.333333333333332,F
male,group B,some high school,standard,none,88,84,75,A,A,82.33333333333333,A
male,group C,associate's degree,free/reduced,none,73,68,66,B,C,69.0,C
female,group D,bachelor's degree,standard,completed,68,75,81,C,B,74.66666666666667,B
male,group E,associate's degree,free/reduced,completed,100,100,93,A,A,97.66666666666667,A
male,group A,some high school,standard,completed,62,67,69,C,C,66.0,C
male,group A,bachelor's degree,standard,none,77,67,68,B,C,70.66666666666667,B
female,group B,associate's degree,standard,completed,59,70,66,D,B,65.0,C
male,group D,bachelor's degree,standard,none,54,49,47,D,E,50.0,D
male,group D,some high school,standard,none,62,67,61,C,C,63.333333333333336,C
female,group C,some college,standard,completed,70,89,88,B,A,82.33333333333333,A
female,group E,high school,free/reduced,completed,66,74,78,C,B,72.66666666666667,B
male,group B,some college,free/reduced,none,60,60,60,C,C,60.0,C
female,group B,associate's degree,standard,completed,61,86,87,C,A,78.0,B
male,group D,associate's degree,free/reduced,none,66,62,64,C,C,64.0,C
male,group B,associate's degree,free/reduced,completed,82,78,74,A,B,78.0,B
female,group E,some college,free/reduced,completed,75,88,85,B,A,82.66666666666667,A
male,group B,master's degree,free/reduced,none,49,53,52,E,D,51.333333333333336,D
male,group C,high school,standard,none,52,53,49,D,D,51.333333333333336,D
female,group E,master's degree,standard,none,81,92,91,A,A,88.0,A
female,group C,bachelor's degree,standard,completed,96,100,100,A,A,98.66666666666667,A
male,group C,high school,free/reduced,completed,53,51,51,D,D,51.666666666666664,D
female,group B,master's degree,free/reduced,completed,58,76,78,D,B,70.66666666666667,B
female,group B,high school,standard,completed,68,83,78,C,A,76.33333333333333,B
female,group C,some college,free/reduced,completed,67,75,70,C,B,70.66666666666667,B
male,group A,high school,standard,completed,72,73,74,B,B,73.0,B
male,group E,some high school,standard,none,94,88,78,A,A,86.66666666666667,A
female,group D,some college,standard,none,79,86,81,B,A,82.0,A
female,group C,associate's degree,standard,none,63,67,70,C,C,66.66666666666667,C
female,group C,bachelor's degree,free/reduced,completed,43,51,54,E,D,49.333333333333336,E
female,group C,master's degree,standard,completed,81,91,87,A,A,86.33333333333333,A
female,group B,high school,free/reduced,completed,46,54,58,E,D,52.666666666666664,D
female,group C,associate's degree,standard,completed,71,77,77,B,B,75.0,B
female,group B,master's degree,free/reduced,completed,52,70,62,D,B,61.333333333333336,C
female,group D,some high school,standard,completed,97,100,100,A,A,99.0,A
male,group C,master's degree,free/reduced,completed,62,68,75,C,C,68.33333333333333,C
female,group C,some college,free/reduced,none,46,64,66,E,C,58.666666666666664,D
female,group E,high school,standard,none,50,50,47,D,D,49.0,E
female,group D,associate's degree,standard,none,65,69,70,C,C,68.0,C
male,group C,some high school,free/reduced,completed,45,52,49,E,D,48.666666666666664,E
male,group C,associate's degree,free/reduced,completed,65,67,65,C,C,65.66666666666667,C
male,group E,high school,standard,none,80,76,65,A,B,73.66666666666667,B
male,group D,some high school,standard,completed,62,66,68,C,C,65.33333333333333,C
male,group B,some high school,free/reduced,none,48,52,45,E,D,48.333333333333336,E
female,group C,bachelor's degree,standard,none,77,88,87,B,A,84.0,A
female,group E,associate's degree,standard,none,66,65,69,C,C,66.66666666666667,C
male,group D,some college,standard,completed,76,83,79,B,A,79.33333333333333,B
female,group B,some high school,standard,none,62,64,66,C,C,64.0,C
male,group D,some college,standard,completed,77,62,62,B,C,67.0,C
female,group C,master's degree,standard,completed,69,84,85,C,A,79.33333333333333,B
male,group D,associate's degree,standard,none,61,55,52,C,D,56.0,D
male,group C,some high school,free/reduced,completed,59,69,65,D,C,64.33333333333333,C
male,group E,high school,free/reduced,none,55,56,51,D,D,54.0,D
female,group B,some college,free/reduced,none,45,53,55,E,D,51.0,D
female,group B,bachelor's degree,free/reduced,none,78,79,76,B,B,77.66666666666667,B
female,group C,associate's degree,standard,completed,67,84,86,C,A,79.0,B
female,group D,some college,free/reduced,none,65,81,77,C,A,74.33333333333333,B
male,group C,associate's degree,standard,none,69,77,69,C,B,71.66666666666667,B
female,group B,associate's degree,standard,none,57,69,68,D,C,64.66666666666667,C
male,group C,some college,standard,none,59,41,42,D,E,47.333333333333336,E
male,group D,some high school,standard,completed,74,71,78,B,B,74.33333333333333,B
male,group E,bachelor's degree,standard,none,82,62,62,A,C,68.66666666666667,C
male,group E,high school,standard,completed,81,80,76,A,A,79.0,B
female,group B,some college,free/reduced,none,74,81,76,B,A,77.0,B
female,group B,some college,free/reduced,none,58,61,66,D,C,61.666666666666664,C
male,group D,some high school,free/reduced,completed,80,79,79,A,B,79.33333333333333,B
male,group C,some college,free/reduced,none,35,28,27,F,F,30.0,F
female,group C,high school,free/reduced,none,42,62,60,E,C,54.666666666666664,D
male,group C,associate's degree,free/reduced,completed,60,51,56,C,D,55.666666666666664,D
male,group E,high school,standard,completed,87,91,81,A,A,86.33333333333333,A
male,group B,some high school,standard,completed,84,83,75,A,A,80.66666666666667,A
female,group E,associate's degree,free/reduced,completed,83,86,88,A,A,85.66666666666667,A
female,group C,high school,free/reduced,none,34,42,39,F,E,38.333333333333336,F
male,group B,high school,free/reduced,none,66,77,70,C,B,71.0,B
male,group B,some high school,standard,completed,61,56,56,C,D,57.666666666666664,D
female,group D,high school,standard,completed,56,68,74,D,C,66.0,C
male,group B,associate's degree,standard,none,87,85,73,A,A,81.66666666666667,A
female,group C,some high school,free/reduced,none,55,65,62,D,C,60.666666666666664,C
male,group D,some high school,standard,none,86,80,75,A,A,80.33333333333333,A
female,group B,associate's degree,standard,completed,52,66,73,D,C,63.666666666666664,C
female,group E,master's degree,free/reduced,none,45,56,54,E,D,51.666666666666664,D
female,group C,some college,standard,none,72,72,71,B,B,71.66666666666667,B
male,group D,high school,standard,none,57,50,54,D,D,53.666666666666664,D
male,group A,some high school,free/reduced,none,68,72,64,C,B,68.0,C
female,group C,some college,standard,completed,88,95,94,A,A,92.33333333333333,A
male,group D,some college,standard,none,76,64,66,B,C,68.66666666666667,C
male,group C,associate's degree,standard,none,46,43,42,E,E,43.666666666666664,E
female,group B,bachelor's degree,standard,none,67,86,83,C,A,78.66666666666667,B
male,group E,some high school,standard,none,92,87,78,A,A,85.66666666666667,A
male,group C,bachelor's degree,standard,completed,83,82,84,A,A,83.0,A
male,group D,associate's degree,standard,none,80,75,77,A,B,77.33333333333333,B
male,group D,bachelor's degree,free/reduced,none,63,66,67,C,C,65.33333333333333,C
female,group D,some high school,standard,completed,64,60,74,C,C,66.0,C
male,group B,some college,standard,none,54,52,51,D,D,52.333333333333336,D
male,group C,associate's degree,standard,none,84,80,80,A,A,81.33333333333333,A
male,group D,high school,free/reduced,completed,73,68,66,B,C,69.0,C
female,group E,bachelor's degree,standard,none,80,83,83,A,A,82.0,A
female,group D,high school,standard,none,56,52,55,D,D,54.333333333333336,D
male,group E,some college,standard,none,59,51,43,D,D,51.0,D
male,group D,some high school,standard,none,75,74,69,B,B,72.66666666666667,B
male,group C,associate's degree,standard,none,85,76,71,A,B,77.33333333333333,B
male,group E,associate's degree,standard,none,89,76,74,A,B,79.66666666666667,B
female,group B,high school,standard,completed,58,70,68,D,B,65.33333333333333,C
female,group B,high school,standard,none,65,64,62,C,C,63.666666666666664,C
male,group C,high school,standard,none,68,60,53,C,C,60.333333333333336,C
male,group A,some high school,standard,completed,47,49,49,E,E,48.333333333333336,E
female,group D,some college,free/reduced,none,71,83,83,B,A,79.0,B
female,group B,some high school,standard,completed,60,70,70,C,B,66.66666666666667,C
male,group D,master's degree,standard,none,80,80,72,A,A,77.33333333333333,B
male,group D,high school,standard,none,54,52,52,D,D,52.666666666666664,D
female,group E,some college,standard,none,62,73,70,C,B,68.33333333333333,C
female,group C,associate's degree,free/reduced,none,64,73,68,C,B,68.33333333333333,C
male,group C,associate's degree,standard,completed,78,77,77,B,B,77.33333333333333,B
female,group B,some college,standard,none,70,75,78,B,B,74.33333333333333,B
female,group C,master's degree,free/reduced,completed,65,81,81,C,A,75.66666666666667,B
female,group C,some high school,free/reduced,completed,64,79,77,C,B,73.33333333333333,B
male,group C,some college,standard,completed,79,79,78,B,B,78.66666666666667,B
female,group C,some high school,free/reduced,none,44,50,51,E,D,48.333333333333336,E
female,group E,high school,standard,none,99,93,90,A,A,94.0,A
male,group D,high school,standard,none,76,73,68,B,B,72.33333333333333,B
male,group D,some high school,free/reduced,none,59,42,41,D,E,47.333333333333336,E
female,group C,bachelor's degree,standard,none,63,75,81,C,B,73.0,B
female,group D,high school,standard,none,69,72,77,C,B,72.66666666666667,B
female,group D,associate's degree,standard,completed,88,92,95,A,A,91.66666666666667,A
female,group E,some college,free/reduced,none,71,76,70,B,B,72.33333333333333,B
male,group C,bachelor's degree,standard,none,69,63,61,C,C,64.33333333333333,C
male,group C,some college,standard,none,58,49,42,D,E,49.666666666666664,E
female,group D,associate's degree,free/reduced,none,47,53,58,E,D,52.666666666666664,D
female,group D,some college,standard,none,65,70,71,C,B,68.66666666666667,C
male,group B,some college,standard,completed,88,85,76,A,A,83.0,A
male,group C,bachelor's degree,standard,none,83,78,73,A,B,78.0,B
female,group C,some high school,standard,completed,85,92,93,A,A,90.0,A
female,group E,high school,standard,completed,59,63,75,D,C,65.66666666666667,C
female,group C,some high school,free/reduced,none,65,86,80,C,A,77.0,B
male,group B,bachelor's degree,free/reduced,none,73,56,57,B,D,62.0,C
male,group D,high school,standard,none,53,52,42,D,D,49.0,E
male,group D,high school,standard,none,45,48,46,E,E,46.333333333333336,E
female,group D,bachelor's degree,free/reduced,none,73,79,84,B,B,78.66666666666667,B
female,group D,some college,free/reduced,completed,70,78,78,B,B,75.33333333333333,B
female,group B,some high school,standard,none,37,46,46,F,E,43.0,E
male,group B,associate's degree,standard,completed,81,82,82,A,A,81.66666666666667,A
male,group E,associate's degree,standard,completed,97,82,88,A,A,89.0,A
female,group B,some high school,standard,none,67,89,82,C,A,79.33333333333333,B
male,group B,bachelor's degree,free/reduced,none,88,75,76,A,B,79.66666666666667,B
male,group E,some high school,standard,completed,77,76,77,B,B,76.66666666666667,B
male,group C,associate's degree,standard,none,76,70,68,B,B,71.33333333333333,B
male,group D,some high school,standard,none,86,73,70,A,B,76.33333333333333,B
male,group C,some high school,standard,completed,63,60,57,C,C,60.0,C
female,group E,bachelor's degree,standard,none,65,73,75,C,B,71.0,B
male,group D,high school,free/reduced,completed,78,77,80,B,B,78.33333333333333,B
male,group B,associate's degree,free/reduced,none,67,62,60,C,C,63.0,C
male,group A,some high school,standard,completed,46,41,43,E,E,43.333333333333336,E
male,group E,associate's degree,standard,completed,71,74,68,B,B,71.0,B
male,group C,high school,free/reduced,completed,40,46,50,E,E,45.333333333333336,E
male,group D,associate's degree,free/reduced,none,90,87,75,A,A,84.0,A
male,group A,some college,free/reduced,completed,81,78,81,A,B,80.0,A
male,group D,some high school,free/reduced,none,56,54,52,D,D,54.0,D
female,group C,associate's degree,standard,completed,67,84,81,C,A,77.33333333333333,B
male,group B,associate's degree,standard,none,80,76,64,A,B,73.33333333333333,B
female,group C,associate's degree,standard,completed,74,75,83,B,B,77.33333333333333,B
male,group A,some college,standard,none,69,67,69,C,C,68.33333333333333,C
male,group E,some college,standard,completed,99,87,81,A,A,89.0,A
male,group C,some high school,standard,none,51,52,44,D,D,49.0,E
female,group B,associate's degree,free/reduced,none,53,71,67,D,B,63.666666666666664,C
female,group D,high school,free/reduced,none,49,57,52,E,D,52.666666666666664,D
female,group B,associate's degree,standard,none,73,76,80,B,B,76.33333333333333,B
male,group B,bachelor's degree,standard,none,66,60,57,C,C,61.0,C
male,group D,bachelor's degree,standard,completed,67,61,68,C,C,65.33333333333333,C
female,group C,associate's degree,free/reduced,completed,68,67,69,C,C,68.0,C
female,group C,bachelor's degree,standard,completed,59,64,75,D,C,66.0,C
male,group C,high school,standard,none,71,66,65,B,C,67.33333333333333,C
female,group D,master's degree,standard,completed,77,82,91,B,A,83.33333333333333,A
male,group C,associate's degree,standard,none,83,72,78,A,B,77.66666666666667,B
male,group B,bachelor's degree,standard,none,63,71,69,C,B,67.66666666666667,C
female,group D,associate's degree,free/reduced,none,56,65,63,D,C,61.333333333333336,C
female,group C,high school,free/reduced,completed,67,79,84,C,B,76.66666666666667,B
female,group E,high school,standard,none,75,86,79,B,A,80.0,A
female,group C,some college,standard,none,71,81,80,B,A,77.33333333333333,B
female,group C,some high school,free/reduced,none,43,53,53,E,D,49.666666666666664,E
female,group C,high school,free/reduced,none,41,46,43,E,E,43.333333333333336,E
female,group C,some college,standard,none,82,90,94,A,A,88.66666666666667,A
male,group C,some college,standard,none,61,61,62,C,C,61.333333333333336,C
male,group A,some college,free/reduced,none,28,23,19,F,F,23.333333333333332,F
male,group C,associate's degree,standard,completed,82,75,77,A,B,78.0,B
female,group B,some high school,standard,none,41,55,51,E,D,49.0,E
male,group C,high school,standard,none,71,60,61,B,C,64.0,C
male,group C,associate's degree,standard,none,47,37,35,E,F,39.666666666666664,F
male,group E,associate's degree,standard,completed,62,56,53,C,D,57.0,D
male,group B,associate's degree,standard,none,90,78,81,A,B,83.0,A
female,group C,bachelor's degree,standard,none,83,93,95,A,A,90.33333333333333,A
female,group B,some college,free/reduced,none,61,68,66,C,C,65.0,C
male,group D,some high school,standard,completed,76,70,69,B,B,71.66666666666667,B
male,group C,associate's degree,standard,none,49,51,43,E,D,47.666666666666664,E
female,group B,some high school,free/reduced,none,24,38,27,F,F,29.666666666666668,F
female,group D,some high school,free/reduced,completed,35,55,60,F,D,50.0,D
male,group C,high school,free/reduced,none,58,61,52,D,C,57.0,D
female,group C,high school,standard,none,61,73,63,C,B,65.66666666666667,C
female,group B,high school,standard,completed,69,76,74,C,B,73.0,B
male,group D,associate's degree,standard,completed,67,72,67,C,B,68.66666666666667,C
male,group D,some college,standard,none,79,73,67,B,B,73.0,B
female,group C,high school,standard,none,72,80,75,B,A,75.66666666666667,B
male,group B,some college,standard,none,62,61,57,C,C,60.0,C
female,group C,bachelor's degree,standard,completed,77,94,95,B,A,88.66666666666667,A
male,group D,high school,free/reduced,none,75,74,66,B,B,71.66666666666667,B
male,group E,associate's degree,standard,none,87,74,76,A,B,79.0,B
female,group B,bachelor's degree,standard,none,52,65,69,D,C,62.0,C
male,group E,some college,standard,none,66,57,52,C,D,58.333333333333336,D
female,group C,some college,standard,completed,63,78,80,C,B,73.66666666666667,B
female,group C,associate's degree,standard,none,46,58,57,E,D,53.666666666666664,D
female,group C,some college,standard,none,59,71,70,D,B,66.66666666666667,C
female,group B,bachelor's degree,standard,none,61,72,70,C,B,67.66666666666667,C
male,group A,associate's degree,standard,none,63,61,61,C,C,61.666666666666664,C
female,group C,some college,free/reduced,completed,42,66,69,E,C,59.0,D
male,group D,some college,free/reduced,none,59,62,61,D,C,60.666666666666664,C
female,group D,some college,standard,none,80,90,89,A,A,86.33333333333333,A
female,group B,high school,standard,none,58,62,59,D,C,59.666666666666664,D
male,group B,some high school,standard,completed,85,84,78,A,A,82.33333333333333,A
female,group C,some college,standard,none,52,58,58,D,D,56.0,D
female,group D,some high school,free/reduced,none,27,34,32,F,F,31.0,F
male,group C,some college,standard,none,59,60,58,D,C,59.0,D
male,group A,bachelor's degree,free/reduced,completed,49,58,60,E,D,55.666666666666664,D
male,group C,high school,standard,completed,69,58,53,C,D,60.0,C
male,group C,bachelor's degree,free/reduced,none,61,66,61,C,C,62.666666666666664,C
female,group A,some high school,free/reduced,none,44,64,58,E,C,55.333333333333336,D
female,group D,some high school,standard,none,73,84,85,B,A,80.66666666666667,A
male,group E,some college,standard,none,84,77,71,A,B,77.33333333333333,B
female,group C,some college,free/reduced,completed,45,73,70,E,B,62.666666666666664,C
male,group D,some high school,standard,none,74,74,72,B,B,73.33333333333333,B
female,group D,some college,standard,completed,82,97,96,A,A,91.66666666666667,A
female,group D,bachelor's degree,standard,none,59,70,73,D,B,67.33333333333333,C
male,group E,associate's degree,free/reduced,none,46,43,41,E,E,43.333333333333336,E
female,group D,some high school,standard,none,80,90,82,A,A,84.0,A
female,group D,master's degree,free/reduced,completed,85,95,100,A,A,93.33333333333333,A
female,group A,some high school,standard,none,71,83,77,B,A,77.0,B
male,group A,bachelor's degree,standard,none,66,64,62,C,C,64.0,C
female,group B,associate's degree,standard,none,80,86,83,A,A,83.0,A
male,group C,associate's degree,standard,completed,87,100,95,A,A,94.0,A
male,group C,master's degree,free/reduced,none,79,81,71,B,A,77.0,B
female,group E,some high school,free/reduced,none,38,49,45,F,E,44.0,E
female,group A,some high school,free/reduced,none,38,43,43,F,E,41.333333333333336,E
female,group E,some college,standard,none,67,76,75,C,B,72.66666666666667,B
female,group E,bachelor's degree,standard,none,64,73,70,C,B,69.0,C
female,group C,associate's degree,free/reduced,none,57,78,67,D,B,67.33333333333333,C
female,group D,high school,standard,none,62,64,64,C,C,63.333333333333336,C
male,group D,master's degree,standard,none,73,70,75,B,B,72.66666666666667,B
male,group E,some high school,free/reduced,completed,73,67,59,B,C,66.33333333333333,C
female,group D,some college,standard,none,77,68,77,B,C,74.0,B
male,group E,some college,standard,none,76,67,67,B,C,70.0,B
male,group C,associate's degree,standard,completed,57,54,56,D,D,55.666666666666664,D
female,group C,some high school,standard,completed,65,74,77,C,B,72.0,B
male,group A,high school,free/reduced,none,48,45,41,E,E,44.666666666666664,E
female,group B,high school,free/reduced,none,50,67,63,D,C,60.0,C
female,group C,associate's degree,standard,none,85,89,95,A,A,89.66666666666667,A
male,group B,some high school,standard,none,74,63,57,B,C,64.66666666666667,C
male,group D,some high school,standard,none,60,59,54,C,D,57.666666666666664,D
